category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x0bc110	246	tracked	?OnDropPlayer@CNetMgr@@QAEXXZ	?OnDropPlayer@CNetMgr@@QAEXXZ	PostMessageA
winapi	0x0bd0b0	154	tracked	?HandleVersionCheck@CNetMgr@@QAEXPAUCNetVersionMsg@@@Z	?HandleVersionCheck@CNetMgr@@QAEXPAUCNetVersionMsg@@@Z	PostMessageA;Sleep
winapi	0x0bda00	62	greenfield	FUN_004bda00	FUN_004bda00	GetDlgItem;SetTimer
winapi	0x0bdb90	62	greenfield	FUN_004bdb90	FUN_004bdb90	GetDlgItem;SetTimer
winapi	0x0bdc00	268	greenfield	FUN_004bdc00	FUN_004bdc00	EndDialog;KillTimer
winapi	0x0bdd60	62	greenfield	FUN_004bdd60	FUN_004bdd60	GetDlgItem;SetTimer
winapi	0x0bdfe0	62	greenfield	FUN_004bdfe0	FUN_004bdfe0	GetDlgItem;SetTimer
winapi	0x0be0a0	455	greenfield	FUN_004be0a0	FUN_004be0a0	EndDialog;KillTimer;PostMessageA
winapi	0x0be2f0	185	greenfield	FUN_004be2f0	FUN_004be2f0	GetDlgItem;SetDlgItemTextA;SetTimer
winapi	0x0be400	108	greenfield	FUN_004be400	FUN_004be400	GetWindowTextA;SetWindowTextA
winapi	0x0be490	132	greenfield	FUN_004be490	FUN_004be490	EndDialog;KillTimer
winapi	0x0be760	130	greenfield	FUN_004be760	FUN_004be760	GetDlgItem;SetDlgItemTextA;SetTimer
winapi	0x0bf1d0	585	tracked	?BuildGruntzCrcInfo@EngineLabelBacklog@@YAXXZ	?BuildGruntzCrcInfo@EngineLabelBacklog@@YAXXZ	wsprintfA
winapi	0x0c1840	366	greenfield	FUN_004c1840	FUN_004c1840	GetWindow;GetWindowLongA;SetWindowLongA
winapi	0x0c1aa0	760	greenfield	FUN_004c1aa0	FUN_004c1aa0	GetWindow;SendMessageA
winapi	0x0c20a0	1114	tracked	?InitPlayerSlots@CMultiStartDlg@@QAEXXZ	?InitPlayerSlots@CMultiStartDlg@@QAEXXZ	GetWindow
winapi	0x0c2980	40	greenfield	FUN_004c2980	FUN_004c2980	SendMessageA
winapi	0x0c2cb0	31	greenfield	FUN_004c2cb0	FUN_004c2cb0	SetTimer
winapi	0x0c2ce0	243	greenfield	FUN_004c2ce0	FUN_004c2ce0	GetWindowTextLengthA
winapi	0x0c2e20	541	greenfield	FUN_004c2e20	FUN_004c2e20	CreateSolidBrush;FillRect;GetClientRect
winapi	0x0c3e30	254	greenfield	FUN_004c3e30	FUN_004c3e30	SendMessageA
winapi	0x0c4230	910	greenfield	FUN_004c4230	FUN_004c4230	GetFocus;SendMessageA
winapi	0x0c46b0	881	greenfield	FUN_004c46b0	FUN_004c46b0	KillTimer;timeGetTime;wsprintfA
winapi	0x0c4ee0	51	greenfield	FUN_004c4ee0	FUN_004c4ee0	SendMessageA
winapi	0x0c4f30	51	greenfield	FUN_004c4f30	FUN_004c4f30	SendMessageA
winapi	0x0c4f80	51	greenfield	FUN_004c4f80	FUN_004c4f80	SendMessageA
winapi	0x0c4fd0	51	greenfield	FUN_004c4fd0	FUN_004c4fd0	SendMessageA
winapi	0x0c50f0	155	greenfield	FUN_004c50f0	FUN_004c50f0	SendMessageA
winapi	0x0c7ec0	1525	greenfield	FUN_004c7ec0	FUN_004c7ec0	timeGetTime
winapi	0x0c8a10	281	greenfield	FUN_004c8a10	FUN_004c8a10	GetCursorPos
winapi	0x0c8cf0	3092	tracked	?Render@CPlay@@UAEHXZ	?Render@CPlay@@UAEHXZ	CopyRect;SetRect;timeGetTime;wsprintfA
winapi	0x0ca200	3636	tracked	?LoadLevelByMode@EngineLabelBacklog@@YAXXZ	?LoadLevelByMode@EngineLabelBacklog@@YAXXZ	UpdateWindow;timeGetTime
winapi	0x0cbaf0	367	greenfield	FUN_004cbaf0	FUN_004cbaf0	PostMessageA
winapi	0x0cbcc0	5850	tracked	?vfunc_12@StatusBarItem@@QAEXXZ	?vfunc_12@StatusBarItem@@QAEXXZ	PostMessageA
winapi	0x0cdb10	2060	greenfield	FUN_004cdb10	FUN_004cdb10	PostMessageA
winapi	0x0ce660	866	tracked	?vfunc_16@StatusBarItem@@QAEXXZ	?vfunc_16@StatusBarItem@@QAEXXZ	SetRect
winapi	0x0ceae0	616	greenfield	FUN_004ceae0	FUN_004ceae0	PostMessageA
winapi	0x0cf770	862	tracked	?DrawDebugStats@EngineLabelBacklog@@YAXXZ	?DrawDebugStats@EngineLabelBacklog@@YAXXZ	CopyRect;DrawTextA;SetBkColor;SetBkMode;SetTextColor;TextOutA
winapi	0x0cfbd0	143	greenfield	FUN_004cfbd0	FUN_004cfbd0	PostMessageA
winapi	0x0d00a0	90	greenfield	FUN_004d00a0	FUN_004d00a0	CopyRect
